Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 285, 2  4  5  12 , 6.53, 94.5%, 6.99, 2.89,"[2, 4, 5, 12]"
 286, 4  5  6  6 , 6.53, 95.4%, 6.85, 2.36,"[4, 5, 6, 6]"
 287, 4  6  7  8 , 6.53, 95.8%, 6.96, 2.47,"[4, 6, 7, 8]"
 288, 12  13  13  13 , 6.53, 94.4%, 6.88, 2.43,"[12, 13, 13, 13]"
 289, 2  2  2  11 , 6.54, 92.2%, 6.83, 2.68,"[2, 2, 2, 11]"
 290, 1  4  7  13 , 6.55, 96.6%, 7.22, 2.94,"[1, 4, 7, 13]"
 291, 3  4  5  8 , 6.55, 96.2%, 7.01, 2.66,"[3, 4, 5, 8]"
 292, 3  5  11  11 , 6.55, 94.6%, 7.06, 2.97,"[3, 5, 11, 11]"
 293, 3  9  9  12 , 6.56, 94.9%, 6.96, 2.59,"[3, 9, 9, 12]"
 294, 1  5  10  12 , 6.58, 92%, 6.98, 3.05,"[1, 5, 10, 12]"
 295, 1  7  7  11 , 6.58, 96.9%, 7.15, 2.6,"[1, 7, 7, 11]"
 296, 2  3  4  6 , 6.58, 97.7%, 7, 2.3,"[2, 3, 4, 6]"
 297, 2  10  11  12 , 6.58, 95.9%, 6.89, 2.41,"[2, 10, 11, 12]"
 298, 3  7  13  13 , 6.58, 87.3%, 6.72, 2.75,"[3, 7, 13, 13]"
 299, 3  10  10  12 , 6.58, 94.3%, 6.93, 2.32,"[3, 10, 10, 12]"
 300, 1  2  5  6 , 6.59, 94.5%, 7.11, 2.76,"[1, 2, 5, 6]"
 301, 1  5  8  10 , 6.59, 96.4%, 7.12, 2.55,"[1, 5, 8, 10]"
 302, 2  8  8  13 , 6.59, 92.9%, 6.99, 2.6,"[2, 8, 8, 13]"
 303, 4  6  11  12 , 6.59, 92.9%, 6.99, 2.91,"[4, 6, 11, 12]"
 304, 5  6  6  7 , 6.59, 97.9%, 7.08, 2.43,"[5, 6, 6, 7]"
 305, 3  7  7  12 , 6.6, 90.1%, 6.79, 2.58,"[3, 7, 7, 12]"
 306, 3  7  11  11 , 6.6, 88%, 6.83, 3.05,"[3, 7, 11, 11]"
 307, 4  6  12  12 , 6.6, 96.9%, 7.06, 2.45,"[4, 6, 12, 12]"
 308, 1  6  8  10 , 6.61, 97.1%, 7.03, 2.41,"[1, 6, 8, 10]"
 309, 7  8  11  12 , 6.61, 96.2%, 7.09, 2.66,"[7, 8, 11, 12]"
 310, 1  3  3  9 , 6.62, 96.8%, 7.16, 2.83,"[1, 3, 3, 9]"
 311, 1  3  13  13 , 6.63, 97%, 7.13, 2.59,"[1, 3, 13, 13]"
 312, 1  10  11  12 , 6.63, 94.6%, 7.02, 2.5,"[1, 10, 11, 12]"
 313, 2  2  8  12 , 6.63, 98%, 7.07, 2.29,"[2, 2, 8, 12]"
 314, 1  2  10  13 , 6.64, 97%, 7.15, 2.71,"[1, 2, 10, 13]"
 315, 3  6  6  7 , 6.65, 93.7%, 7.11, 2.69,"[3, 6, 6, 7]"
 316, 3  8  9  10 , 6.65, 96.2%, 7, 2.5,"[3, 8, 9, 10]"
 317, 4  4  12  13 , 6.66, 92%, 7.04, 2.56,"[4, 4, 12, 13]"
 318, 1  2  3  6 , 6.67, 97%, 7.09, 2.42,"[1, 2, 3, 6]"
 319, 2  8  9  12 , 6.67, 95.1%, 7.07, 2.74,"[2, 8, 9, 12]"
 320, 3  3  3  3 , 6.67, 96%, 7.4, 3.33,"[3, 3, 3, 3]"
 321, 1  2  5  5 , 6.68, 95.2%, 7.19, 2.9,"[1, 2, 5, 5]"
 322, 9  9  10  13 , 6.68, 91%, 6.88, 2.66,"[9, 9, 10, 13]"
 323, 1  9  11  12 , 6.69, 93.7%, 7.11, 3,"[1, 9, 11, 12]"
 324, 2  5  6  11 , 6.69, 96.3%, 7.18, 2.61,"[2, 5, 6, 11]"
 325, 1  12  12  12 , 6.7, 93.5%, 6.9, 2.56,"[1, 12, 12, 12]"
 326, 1  3  3  3 , 6.71, 95.6%, 7.09, 2.53,"[1, 3, 3, 3]"
 327, 1  4  8  13 , 6.71, 97.5%, 7.08, 2.44,"[1, 4, 8, 13]"
 328, 3  4  10  13 , 6.71, 96.5%, 7.19, 2.81,"[3, 4, 10, 13]"
 329, 2  2  5  5 , 6.72, 93.3%, 7.1, 2.49,"[2, 2, 5, 5]"
 330, 4  4  5  5 , 6.72, 93.2%, 7.16, 2.56,"[4, 4, 5, 5]"
 331, 5  6  7  7 , 6.72, 87.8%, 6.89, 2.74,"[5, 6, 7, 7]"
 332, 5  7  10  12 , 6.72, 96.8%, 7.18, 2.46,"[5, 7, 10, 12]"
 333, 1  1  2  7 , 6.73, 95.5%, 6.96, 2.06,"[1, 1, 2, 7]"
 334, 4  5  11  11 , 6.73, 87.4%, 7.23, 3.63,"[4, 5, 11, 11]"
 335, 1  5  6  6 , 6.74, 93.7%, 7.41, 3.37,"[1, 5, 6, 6]"
 336, 6  7  12  13 , 6.74, 95.5%, 7.21, 2.72,"[6, 7, 12, 13]"
 337, 6  8  10  12 , 6.74, 97.2%, 7.29, 2.78,"[6, 8, 10, 12]"
 338, 1  2  5  7 , 6.76, 95.1%, 7.1, 2.66,"[1, 2, 5, 7]"
 339, 3  3  5  6 , 6.76, 96.4%, 7.36, 2.68,"[3, 3, 5, 6]"
 340, 1  1  6  12 , 6.78, 91.1%, 7.41, 3.37,"[1, 1, 6, 12]"
 341, 1  2  11  13 , 6.78, 93.7%, 7.43, 3.09,"[1, 2, 11, 13]"
 342, 2  2  2  4 , 6.78, 96%, 7.11, 2.46,"[2, 2, 2, 4]"
 343, 2  2  2  13 , 6.78, 93.4%, 7.13, 2.73,"[2, 2, 2, 13]"
 344, 3  3  12  13 , 6.79, 93.3%, 7.23, 2.65,"[3, 3, 12, 13]"
 345, 3  4  5  7 , 6.8, 96.7%, 7.3, 2.66,"[3, 4, 5, 7]"
 346, 4  5  7  7 , 6.8, 91.1%, 7.43, 3.5,"[4, 5, 7, 7]"
 347, 5  7  11  11 , 6.8, 96.1%, 7.24, 2.67,"[5, 7, 11, 11]"
 348, 7  7  10  13 , 6.8, 89.7%, 7.1, 3.13,"[7, 7, 10, 13]"
 349, 1  1  2  9 , 6.81, 94.7%, 7.11, 2.33,"[1, 1, 2, 9]"
 350, 1  6  6  10 , 6.81, 93.5%, 7.18, 3.1,"[1, 6, 6, 10]"
 351, 2  3  12  13 , 6.81, 95.9%, 7.28, 2.64,"[2, 3, 12, 13]"
 352, 4  8  8  8 , 6.81, 94.5%, 7.19, 2.77,"[4, 8, 8, 8]"
 353, 8  9  11  12 , 6.81, 95.2%, 7.47, 3.03,"[8, 9, 11, 12]"
 354, 2  11  11  13 , 6.82, 95%, 7.33, 2.85,"[2, 11, 11, 13]"
 355, 11  12  12  13 , 6.83, 97.1%, 7.42, 2.67,"[11, 12, 12, 13]"
 356, 1  6  8  11 , 6.84, 97.8%, 7.31, 2.46,"[1, 6, 8, 11]"
 357, 2  4  4  8 , 6.84, 96.6%, 7.25, 2.66,"[2, 4, 4, 8]"
 358, 2  6  6  8 , 6.85, 95.6%, 7.45, 3,"[2, 6, 6, 8]"
 359, 4  4  4  8 , 6.85, 96.3%, 7.45, 2.86,"[4, 4, 4, 8]"
 360, 7  8  12  13 , 6.85, 96.5%, 7.34, 2.6,"[7, 8, 12, 13]"
 361, 2  4  13  13 , 6.86, 95.6%, 7.38, 2.76,"[2, 4, 13, 13]"
 362, 4  7  7  7 , 6.86, 89%, 7.06, 3.03,"[4, 7, 7, 7]"
 363, 9  11  11  11 , 6.86, 95.3%, 7.22, 2.74,"[9, 11, 11, 11]"
 364, 5  6  13  13 , 6.87, 87%, 6.96, 2.72,"[5, 6, 13, 13]"
 365, 1  3  4  4 , 6.88, 93.3%, 7.18, 3.04,"[1, 3, 4, 4]"
 366, 4  7  13  13 , 6.88, 87.6%, 7.11, 2.96,"[4, 7, 13, 13]"
 367, 7  9  13  13 , 6.88, 96.2%, 7.43, 2.77,"[7, 9, 13, 13]"
 368, 1  1  3  5 , 6.89, 95.3%, 7.21, 2.31,"[1, 1, 3, 5]"
 369, 6  9  12  12 , 6.89, 89.3%, 7.43, 3.64,"[6, 9, 12, 12]"
 370, 8  9  10  13 , 6.89, 96%, 7.4, 2.67,"[8, 9, 10, 13]"
 371, 1  1  4  9 , 6.9, 93.4%, 7.09, 2.32,"[1, 1, 4, 9]"
 372, 1  3  6  7 , 6.9, 96.1%, 7.32, 2.79,"[1, 3, 6, 7]"
 373, 1  9  10  12 , 6.9, 93.8%, 7.24, 2.76,"[1, 9, 10, 12]"
 374, 4  7  10  11 , 6.9, 97.1%, 7.43, 2.71,"[4, 7, 10, 11]"
 375, 1  3  10  11 , 6.91, 96.4%, 7.57, 3.11,"[1, 3, 10, 11]"
 376, 1  2  2  11 , 6.92, 97%, 7.47, 2.94,"[1, 2, 2, 11]"
 377, 3  3  3  10 , 6.92, 94.3%, 7.49, 3.24,"[3, 3, 3, 10]"
 378, 9  10  11  12 , 6.92, 96.1%, 7.43, 2.76,"[9, 10, 11, 12]"
 379, 1  11  12  12 , 6.93, 94.2%, 7.47, 3.14,"[1, 11, 12, 12]"
 380, 5  5  10  10 , 6.93, 86.9%, 7.25, 3.13,"[5, 5, 10, 10]"
 381, 2  5  5  13 , 6.94, 91.9%, 7.35, 2.77,"[2, 5, 5, 13]"
 382, 2  5  12  12 , 6.94, 83.5%, 7.37, 4.08,"[2, 5, 12, 12]"
 383, 2  8  12  12 , 6.94, 95.1%, 7.31, 2.62,"[2, 8, 12, 12]"
 384, 4  6  9  10 , 6.94, 93.7%, 7.48, 3.25,"[4, 6, 9, 10]"
 385, 8  9  12  13 , 6.94, 96.1%, 7.42, 2.69,"[8, 9, 12, 13]"
 386, 2  5  5  8 , 6.95, 88.1%, 7.12, 3.11,"[2, 5, 5, 8]"
 387, 3  3  3  7 , 6.95, 92.1%, 7.38, 3.15,"[3, 3, 3, 7]"
 388, 4  7  8  8 , 6.95, 94.2%, 7.36, 2.55,"[4, 7, 8, 8]"
 389, 6  8  11  11 , 6.95, 94.1%, 7.48, 3.07,"[6, 8, 11, 11]"
 390, 2  6  10  12 , 6.96, 95.2%, 7.43, 2.81,"[2, 6, 10, 12]"
 391, 3  8  8  9 , 6.96, 95.6%, 7.29, 2.52,"[3, 8, 8, 9]"
 392, 4  5  10  10 , 6.96, 91.1%, 7.29, 3.05,"[4, 5, 10, 10]"
 393, 2  2  12  13 , 6.97, 92.2%, 7.26, 2.61,"[2, 2, 12, 13]"
 394, 2  4  5  8 , 6.97, 95.1%, 7.36, 2.76,"[2, 4, 5, 8]"
 395, 8  8  10  13 , 6.97, 90.5%, 7.38, 3.09,"[8, 8, 10, 13]"
 396, 1  2  11  12 , 6.98, 96.9%, 7.68, 3.2,"[1, 2, 11, 12]"
 397, 2  6  7  13 , 6.98, 96.7%, 7.39, 2.66,"[2, 6, 7, 13]"
 398, 2  9  9  11 , 6.98, 87.4%, 6.99, 2.69,"[2, 9, 9, 11]"
 399, 11  11  12  13 , 6.98, 95%, 7.4, 2.48,"[11, 11, 12, 13]"
 400, 1  1  8  8 , 6.99, 89.6%, 7.43, 3.67,"[1, 1, 8, 8]"
 401, 1  2  6  7 , 6.99, 95.2%, 7.36, 2.55,"[1, 2, 6, 7]"
 402, 5  5  10  13 , 6.99, 89.8%, 7.34, 3.23,"[5, 5, 10, 13]"
 403, 4  4  4  12 , 7, 96.5%, 7.48, 2.95,"[4, 4, 4, 12]"
 404, 5  6  9  9 , 7, 90.6%, 7.26, 2.73,"[5, 6, 9, 9]"
 405, 2  9  9  13 , 7.01, 88.8%, 7.09, 2.52,"[2, 9, 9, 13]"
 406, 6  7  10  13 , 7.01, 96.4%, 7.53, 2.78,"[6, 7, 10, 13]"
 407, 1  8  8  11 , 7.02, 93.5%, 7.49, 3.48,"[1, 8, 8, 11]"
 408, 5  6  11  11 , 7.02, 87.2%, 7.24, 3.16,"[5, 6, 11, 11]"
 409, 1  3  7  13 , 7.03, 96.8%, 7.41, 2.62,"[1, 3, 7, 13]"
 410, 1  6  8  8 , 7.03, 93.1%, 7.34, 2.94,"[1, 6, 8, 8]"
 411, 3  6  9  9 , 7.03, 94%, 7.6, 3.25,"[3, 6, 9, 9]"
 412, 6  8  8  8 , 7.03, 88.1%, 7.43, 3.5,"[6, 8, 8, 8]"
 413, 2  6  7  12 , 7.04, 92.1%, 7.22, 2.93,"[2, 6, 7, 12]"
 414, 1  3  5  13 , 7.05, 94.2%, 7.45, 2.72,"[1, 3, 5, 13]"
 415, 1  7  7  9 , 7.05, 96.3%, 7.42, 2.83,"[1, 7, 7, 9]"
 416, 1  8  8  10 , 7.05, 92.3%, 7.38, 2.98,"[1, 8, 8, 10]"
 417, 3  6  6  12 , 7.05, 95.4%, 7.7, 2.93,"[3, 6, 6, 12]"
 418, 5  5  13  13 , 7.05, 85.6%, 7.28, 3.13,"[5, 5, 13, 13]"
 419, 8  8  9  11 , 7.05, 89.7%, 7.62, 3.69,"[8, 8, 9, 11]"
 420, 2  3  5  5 , 7.06, 96.3%, 7.57, 2.9,"[2, 3, 5, 5]"
 421, 3  7  12  13 , 7.06, 93.9%, 7.55, 3.03,"[3, 7, 12, 13]"
 422, 8  10  11  11 , 7.06, 94.8%, 7.47, 2.76,"[8, 10, 11, 11]"
 423, 2  3  3  13 , 7.07, 94.1%, 7.61, 2.93,"[2, 3, 3, 13]"
 424, 3  5  5  6 , 7.07, 89.2%, 7.32, 3.12,"[3, 5, 5, 6]"
 425, 8  8  12  13 , 7.07, 92.1%, 7.37, 2.63,"[8, 8, 12, 13]"
 426, 5  5  6  6 , 7.08, 93.1%, 7.54, 2.83,"[5, 5, 6, 6]"
 427, 1  7  8  11 , 7.09, 92.6%, 7.44, 3.09,"[1, 7, 8, 11]"
 428, 2  2  10  13 , 7.09, 90%, 7.32, 3.09,"[2, 2, 10, 13]"
 429, 3  3  4  4 , 7.09, 94.5%, 7.47, 2.7,"[3, 3, 4, 4]"
 430, 9  12  12  12 , 7.09, 82.3%, 7.12, 3.72,"[9, 12, 12, 12]"
 431, 1  3  9  11 , 7.1, 95%, 7.62, 3.11,"[1, 3, 9, 11]"
 432, 1  3  10  12 , 7.1, 96.3%, 7.56, 2.75,"[1, 3, 10, 12]"
 433, 2  5  9  12 , 7.1, 95.4%, 7.56, 2.86,"[2, 5, 9, 12]"
 434, 5  5  11  11 , 7.1, 85.9%, 7.31, 3.25,"[5, 5, 11, 11]"
 435, 1  2  2  13 , 7.11, 96.5%, 7.68, 3.12,"[1, 2, 2, 13]"
 436, 1  2  3  5 , 7.11, 95.5%, 7.41, 2.38,"[1, 2, 3, 5]"
 437, 4  8  11  12 , 7.12, 93%, 7.69, 3.17,"[4, 8, 11, 12]"
 438, 10  10  12  13 , 7.12, 92.3%, 7.45, 2.61,"[10, 10, 12, 13]"
 439, 3  4  11  12 , 7.14, 95.1%, 7.76, 3.35,"[3, 4, 11, 12]"
 440, 4  6  6  8 , 7.14, 97.3%, 7.62, 2.62,"[4, 6, 6, 8]"
 441, 1  2  7  10 , 7.15, 90.9%, 7.87, 4.06,"[1, 2, 7, 10]"
 442, 1  5  6  9 , 7.15, 92%, 7.61, 3.46,"[1, 5, 6, 9]"
 443, 1  7  10  12 , 7.15, 92.8%, 7.58, 3.07,"[1, 7, 10, 12]"
 444, 2  6  10  10 , 7.16, 95.7%, 7.65, 3.01,"[2, 6, 10, 10]"
 445, 3  8  8  12 , 7.16, 91.6%, 7.66, 3.12,"[3, 8, 8, 12]"
 446, 1  3  4  11 , 7.17, 96%, 7.69, 2.91,"[1, 3, 4, 11]"
 447, 1  10  12  13 , 7.17, 94.3%, 7.52, 2.86,"[1, 10, 12, 13]"
 448, 2  7  7  13 , 7.17, 86.2%, 7.28, 3.02,"[2, 7, 7, 13]"
 449, 1  2  4  10 , 7.18, 96.2%, 7.66, 3.16,"[1, 2, 4, 10]"
 450, 2  2  7  13 , 7.18, 96.2%, 7.62, 2.91,"[2, 2, 7, 13]"
 451, 2  8  8  8 , 7.18, 93.8%, 7.73, 3.32,"[2, 8, 8, 8]"
 452, 6  6  6  11 , 7.18, 88.7%, 7.43, 3.42,"[6, 6, 6, 11]"
 453, 4  7  12  13 , 7.19, 92.4%, 7.76, 3.39,"[4, 7, 12, 13]"
 454, 6  6  12  13 , 7.19, 90.4%, 7.61, 3.09,"[6, 6, 12, 13]"
 455, 1  5  9  9 , 7.2, 94.4%, 7.71, 3.14,"[1, 5, 9, 9]"
 456, 2  9  10  12 , 7.2, 93.9%, 7.52, 2.84,"[2, 9, 10, 12]"
 457, 3  4  5  12 , 7.2, 97%, 7.62, 2.67,"[3, 4, 5, 12]"
 458, 5  9  10  10 , 7.21, 92.8%, 7.6, 3.07,"[5, 9, 10, 10]"
 459, 4  5  11  13 , 7.22, 90.3%, 7.61, 3.26,"[4, 5, 11, 13]"
 460, 3  6  11  12 , 7.23, 93.5%, 7.72, 3.15,"[3, 6, 11, 12]"
 461, 3  7  11  12 , 7.23, 90.8%, 7.75, 3.53,"[3, 7, 11, 12]"
 462, 3  7  7  9 , 7.24, 86.5%, 7.28, 2.98,"[3, 7, 7, 9]"
 463, 5  6  11  13 , 7.24, 91.8%, 7.79, 3.36,"[5, 6, 11, 13]"
 464, 7  8  8  9 , 7.24, 86.7%, 7.65, 3.82,"[7, 8, 8, 9]"
 465, 1  3  4  5 , 7.25, 97.5%, 7.74, 2.52,"[1, 3, 4, 5]"
 466, 1  12  12  13 , 7.25, 94.2%, 7.79, 3.16,"[1, 12, 12, 13]"
 467, 4  8  10  12 , 7.25, 95.7%, 7.76, 2.88,"[4, 8, 10, 12]"
 468, 1  3  7  8 , 7.26, 89.2%, 7.46, 3.49,"[1, 3, 7, 8]"
 469, 3  9  10  11 , 7.26, 93%, 7.63, 2.93,"[3, 9, 10, 11]"
 470, 1  6  8  13 , 7.27, 94.4%, 7.72, 2.84,"[1, 6, 8, 13]"
 471, 5  10  11  11 , 7.27, 90.4%, 7.52, 2.8,"[5, 10, 11, 11]"
 472, 3  5  5  12 , 7.28, 89.2%, 7.62, 3.31,"[3, 5, 5, 12]"
 473, 3  5  13  13 , 7.28, 94.2%, 7.75, 3.07,"[3, 5, 13, 13]"
 474, 5  5  7  8 , 7.28, 92.5%, 7.73, 2.95,"[5, 5, 7, 8]"
 475, 1  6  6  9 , 7.29, 90.5%, 7.75, 3.32,"[1, 6, 6, 9]"
 476, 1  1  6  8 , 7.3, 94.8%, 7.64, 2.54,"[1, 1, 6, 8]"
 477, 2  6  7  9 , 7.3, 96%, 7.81, 3.03,"[2, 6, 7, 9]"
 478, 1  7  9  13 , 7.31, 93.7%, 7.53, 2.54,"[1, 7, 9, 13]"
 479, 2  2  3  9 , 7.31, 94.5%, 7.76, 2.89,"[2, 2, 3, 9]"
 480, 4  7  11  11 , 7.31, 86.3%, 7.43, 3.36,"[4, 7, 11, 11]"
 481, 7  9  10  12 , 7.31, 94%, 7.84, 3.19,"[7, 9, 10, 12]"
 482, 10  12  12  13 , 7.31, 90.1%, 7.75, 3.53,"[10, 12, 12, 13]"
 483, 1  8  11  12 , 7.32, 91.5%, 7.84, 3.47,"[1, 8, 11, 12]"
 484, 2  4  10  12 , 7.32, 96.7%, 7.99, 3.16,"[2, 4, 10, 12]"
 485, 1  8  9  11 , 7.33, 92.8%, 7.66, 3.09,"[1, 8, 9, 11]"
 486, 2  3  3  11 , 7.33, 89.4%, 7.57, 3.23,"[2, 3, 3, 11]"
 487, 4  5  5  8 , 7.33, 88%, 7.46, 2.93,"[4, 5, 5, 8]"
 488, 2  7  8  13 , 7.34, 94%, 7.86, 3.11,"[2, 7, 8, 13]"
 489, 3  3  9  9 , 7.34, 96%, 7.73, 2.77,"[3, 3, 9, 9]"
 490, 3  4  8  10 , 7.34, 93.5%, 7.71, 3.22,"[3, 4, 8, 10]"
 491, 3  6  6  6 , 7.34, 94.5%, 7.77, 3.18,"[3, 6, 6, 6]"
 492, 7  10  10  11 , 7.34, 93.5%, 7.68, 2.96,"[7, 10, 10, 11]"
 493, 5  5  9  9 , 7.35, 85.4%, 7.63, 3.42,"[5, 5, 9, 9]"
 494, 6  8  13  13 , 7.36, 93.2%, 7.83, 3.06,"[6, 8, 13, 13]"
 495, 3  3  4  5 , 7.37, 94%, 7.81, 3.21,"[3, 3, 4, 5]"
 496, 3  6  8  8 , 7.37, 92.8%, 7.72, 2.96,"[3, 6, 8, 8]"
 497, 4  4  5  8 , 7.37, 95.9%, 7.74, 2.56,"[4, 4, 5, 8]"
 498, 5  6  8  8 , 7.37, 92.1%, 7.73, 2.94,"[5, 6, 8, 8]"
 499, 5  8  8  10 , 7.37, 91.4%, 7.86, 3.43,"[5, 8, 8, 10]"
 500, 10  11  11  12 , 7.37, 96.8%, 7.84, 2.8,"[10, 11, 11, 12]"
 501, 1  11  12  13 , 7.38, 94%, 7.84, 3.21,"[1, 11, 12, 13]"
 502, 2  3  7  12 , 7.38, 94.8%, 7.85, 3.06,"[2, 3, 7, 12]"
 503, 3  5  6  8 , 7.39, 93.6%, 7.87, 3.21,"[3, 5, 6, 8]"
 504, 2  5  6  8 , 7.4, 95.6%, 7.96, 3.05,"[2, 5, 6, 8]"
 505, 3  9  11  11 , 7.41, 85.8%, 7.55, 3.29,"[3, 9, 11, 11]"
 506, 2  2  4  7 , 7.42, 95.2%, 8.06, 3.12,"[2, 2, 4, 7]"
 507, 5  5  10  11 , 7.44, 87.7%, 7.81, 3.51,"[5, 5, 10, 11]"
 508, 1  4  4  4 , 7.45, 95.8%, 7.91, 2.86,"[1, 4, 4, 4]"
 509, 2  10  10  11 , 7.45, 85.1%, 7.3, 2.95,"[2, 10, 10, 11]"
 510, 3  5  10  12 , 7.45, 94.8%, 8.02, 3.15,"[3, 5, 10, 12]"
 511, 5  8  12  12 , 7.45, 75.9%, 6.84, 3.58,"[5, 8, 12, 12]"
 512, 1  2  3  7 , 7.46, 96.2%, 8.15, 3.19,"[1, 2, 3, 7]"
 513, 1  7  9  9 , 7.46, 94.6%, 7.9, 3.15,"[1, 7, 9, 9]"
 514, 2  6  9  11 , 7.46, 95.7%, 7.95, 3.14,"[2, 6, 9, 11]"
 515, 3  3  10  13 , 7.46, 89.4%, 7.73, 3.49,"[3, 3, 10, 13]"
 516, 7  10  12  12 , 7.46, 84.6%, 7.64, 3.75,"[7, 10, 12, 12]"
 517, 1  2  3  9 , 7.47, 96.4%, 8, 3.11,"[1, 2, 3, 9]"
 518, 3  9  13  13 , 7.47, 86.3%, 7.64, 3.31,"[3, 9, 13, 13]"
 519, 4  4  4  7 , 7.47, 91.2%, 7.86, 3.41,"[4, 4, 4, 7]"
 520, 5  7  13  13 , 7.47, 94.3%, 7.91, 3.22,"[5, 7, 13, 13]"
 521, 2  4  8  10 , 7.48, 97.7%, 7.95, 2.62,"[2, 4, 8, 10]"
 522, 1  4  5  5 , 7.49, 95.8%, 7.95, 2.72,"[1, 4, 5, 5]"
 523, 6  6  6  9 , 7.49, 89.7%, 8.02, 3.9,"[6, 6, 6, 9]"
 524, 9  10  10  13 , 7.49, 95.3%, 7.94, 3.07,"[9, 10, 10, 13]"
 525, 1  5  5  6 , 7.5, 94.9%, 8.01, 3.07,"[1, 5, 5, 6]"
 526, 2  2  6  6 , 7.5, 95.7%, 8.01, 3.05,"[2, 2, 6, 6]"
 527, 2  6  6  6 , 7.5, 95.9%, 8.06, 3.07,"[2, 6, 6, 6]"
 528, 4  8  12  13 , 7.5, 91.8%, 8.19, 3.69,"[4, 8, 12, 13]"
 529, 6  7  11  13 , 7.5, 90.1%, 7.89, 3.44,"[6, 7, 11, 13]"
 530, 1  8  9  13 , 7.51, 91.4%, 7.95, 3.59,"[1, 8, 9, 13]"
 531, 2  10  10  13 , 7.51, 90%, 7.7, 2.92,"[2, 10, 10, 13]"
 532, 3  4  4  7 , 7.51, 90.4%, 7.93, 3.43,"[3, 4, 4, 7]"
 533, 4  7  9  9 , 7.51, 86.5%, 7.62, 3.19,"[4, 7, 9, 9]"
 534, 1  2  2  4 , 7.52, 95.5%, 7.83, 2.42,"[1, 2, 2, 4]"
 535, 2  6  6  13 , 7.52, 84.9%, 7.55, 3.14,"[2, 6, 6, 13]"
 536, 2  2  7  8 , 7.53, 93.7%, 7.86, 2.97,"[2, 2, 7, 8]"
 537, 3  3  5  5 , 7.53, 89.4%, 7.75, 3.14,"[3, 3, 5, 5]"
 538, 1  2  4  13 , 7.54, 93.6%, 7.89, 2.96,"[1, 2, 4, 13]"
 539, 2  3  4  12 , 7.54, 94.3%, 8.09, 3.29,"[2, 3, 4, 12]"
 540, 5  10  13  13 , 7.54, 92.5%, 8, 2.8,"[5, 10, 13, 13]"
 541, 8  8  8  12 , 7.54, 88.3%, 7.94, 4.02,"[8, 8, 8, 12]"
 542, 3  5  5  7 , 7.55, 90%, 7.77, 3.16,"[3, 5, 5, 7]"
 543, 3  5  6  12 , 7.55, 93.4%, 8.08, 3.24,"[3, 5, 6, 12]"
 544, 3  7  9  10 , 7.55, 92%, 8.14, 3.5,"[3, 7, 9, 10]"
 545, 4  4  7  9 , 7.55, 93.2%, 7.97, 3.43,"[4, 4, 7, 9]"
 546, 4  4  8  8 , 7.55, 95.7%, 8.17, 3.21,"[4, 4, 8, 8]"
 547, 2  6  6  11 , 7.59, 83.3%, 7.39, 3.15,"[2, 6, 6, 11]"
 548, 3  6  10  12 , 7.59, 93%, 8.09, 3.43,"[3, 6, 10, 12]"
 549, 2  4  4  13 , 7.6, 85.4%, 7.74, 3.43,"[2, 4, 4, 13]"
 550, 3  4  4  12 , 7.61, 90.5%, 7.93, 3.31,"[3, 4, 4, 12]"
 551, 3  4  9  12 , 7.61, 94.6%, 8.08, 3.11,"[3, 4, 9, 12]"
 552, 2  8  12  13 , 7.62, 89.4%, 7.86, 3.53,"[2, 8, 12, 13]"
 553, 1  2  12  13 , 7.63, 96%, 8.36, 3.38,"[1, 2, 12, 13]"
 554, 2  7  8  8 , 7.63, 92.4%, 8, 3.08,"[2, 7, 8, 8]"
 555, 2  3  5  6 , 7.64, 95.1%, 8.07, 2.94,"[2, 3, 5, 6]"
 556, 2  4  5  13 , 7.64, 94.7%, 8.23, 3.3,"[2, 4, 5, 13]"
 557, 3  9  12  12 , 7.64, 90.9%, 8.21, 3.47,"[3, 9, 12, 12]"
 558, 9  11  13  13 , 7.64, 92%, 8.15, 3.18,"[9, 11, 13, 13]"
 559, 1  3  8  12 , 7.65, 96.6%, 8.16, 2.89,"[1, 3, 8, 12]"
 560, 2  6  8  11 , 7.65, 93.4%, 8.09, 3.35,"[2, 6, 8, 11]"
 561, 8  9  11  13 , 7.67, 90.7%, 8.11, 3.67,"[8, 9, 11, 13]"
 562, 2  2  2  10 , 7.68, 94.2%, 8.13, 3.32,"[2, 2, 2, 10]"
 563, 2  4  4  11 , 7.68, 84.6%, 7.69, 3.45,"[2, 4, 4, 11]"
 564, 1  4  10  11 , 7.69, 95%, 8.14, 3.18,"[1, 4, 10, 11]"
 565, 1  9  11  11 , 7.69, 89.7%, 7.82, 3.03,"[1, 9, 11, 11]"
 566, 4  8  10  11 , 7.69, 90.4%, 8.03, 3.49,"[4, 8, 10, 11]"
 567, 1  4  9  12 , 7.71, 95.9%, 8.39, 3.37,"[1, 4, 9, 12]"
 568, 2  2  4  10 , 7.72, 94.2%, 8.05, 2.91,"[2, 2, 4, 10]"
 569, 4  5  7  8 , 7.72, 95.6%, 8.23, 3.14,"[4, 5, 7, 8]"
 570, 2  6  11  13 , 7.73, 89.9%, 7.91, 3.38,"[2, 6, 11, 13]"
